"","session_id","id","x","y","counts","pa","key","dist2sq","rl_the_sq","rl_emp_sq"
"1707","T087","55,5","55","5",0,0,"T087_55,5",55.2268050859363,147.157001606532,137.068758897762
"1708","T088","55,5","55","5",0,0,"T088_55,5",55.2268050859363,147.157001606532,137.068758897762
"1709","T089","55,5","55","5",0,0,"T089_55,5",55.2268050859363,147.157001606532,137.068758897762
"1710","T090","55,5","55","5",0,0,"T090_55,5",55.2268050859363,147.157001606532,137.068758897762
"1711","C017","65,5","65","5",0,0,"C017_65,5",65.1920240520265,145.716110699497,135.293032311168
"1712","C018","65,5","65","5",0,0,"C018_65,5",65.1920240520265,145.716110699497,135.293032311168
"1713","C019","65,5","65","5",0,0,"C019_65,5",65.1920240520265,145.716110699497,135.293032311168
"1714","C020","65,5","65","5",0,0,"C020_65,5",65.1920240520265,145.716110699497,135.293032311168
"1715","C021","65,5","65","5",0,0,"C021_65,5",65.1920240520265,145.716110699497,135.293032311168
"1716","C022","65,5","65","5",0,0,"C022_65,5",65.1920240520265,145.716110699497,135.293032311168
"1717","C023","65,5","65","5",0,0,"C023_65,5",65.1920240520265,145.716110699497,135.293032311168
"1718","C024","65,5","65","5",0,0,"C024_65,5",65.1920240520265,145.716110699497,135.293032311168
"1719","C025","65,5","65","5",0,0,"C025_65,5",65.1920240520265,145.716110699497,135.293032311168
"1720","C026","65,5","65","5",0,0,"C026_65,5",65.1920240520265,145.716110699497,135.293032311168
"1721","C027","65,5","65","5",0,0,"C027_65,5",65.1920240520265,145.716110699497,135.293032311168
"1722","C028","65,5","65","5",0,0,"C028_65,5",65.1920240520265,145.716110699497,135.293032311168
"1723","C029","65,5","65","5",0,0,"C029_65,5",65.1920240520265,145.716110699497,135.293032311168
"1724","C030","65,5","65","5",0,0,"C030_65,5",65.1920240520265,145.716110699497,135.293032311168
"1725","C031","65,5","65","5",0,0,"C031_65,5",65.1920240520265,145.716110699497,135.293032311168
"1726","C032","65,5","65","5",0,0,"C032_65,5",65.1920240520265,145.716110699497,135.293032311168
"1727","T048","65,5","65","5",0,0,"T048_65,5",65.1920240520265,145.716110699497,135.293032311168
"1728","T049","65,5","65","5",0,0,"T049_65,5",65.1920240520265,145.716110699497,135.293032311168
"1729","T050","65,5","65","5",0,0,"T050_65,5",65.1920240520265,145.716110699497,135.293032311168
"1730","T051","65,5","65","5",0,0,"T051_65,5",65.1920240520265,145.716110699497,135.293032311168
"1731","T052","65,5","65","5",0,0,"T052_65,5",65.1920240520265,145.716110699497,135.293032311168
"1732","T053","65,5","65","5",0,0,"T053_65,5",65.1920240520265,145.716110699497,135.293032311168
"1733","T054","65,5","65","5",0,0,"T054_65,5",65.1920240520265,145.716110699497,135.293032311168
"1734","T055","65,5","65","5",0,0,"T055_65,5",65.1920240520265,145.716110699497,135.293032311168
"1735","T056","65,5","65","5",0,0,"T056_65,5",65.1920240520265,145.716110699497,135.293032311168
"1736","T057","65,5","65","5",0,0,"T057_65,5",65.1920240520265,145.716110699497,135.293032311168
"1737","T058","65,5","65","5",0,0,"T058_65,5",65.1920240520265,145.716110699497,135.293032311168
"1738","T059","65,5","65","5",0,0,"T059_65,5",65.1920240520265,145.716110699497,135.293032311168
"1739","T061","65,5","65","5",0,0,"T061_65,5",65.1920240520265,145.716110699497,135.293032311168
"1740","T062","65,5","65","5",0,0,"T062_65,5",65.1920240520265,145.716110699497,135.293032311168
"1741","T063","65,5","65","5",0,0,"T063_65,5",65.1920240520265,145.716110699497,135.293032311168
"1742","T064","65,5","65","5",0,0,"T064_65,5",65.1920240520265,145.716110699497,135.293032311168
"1743","T065","65,5","65","5",0,0,"T065_65,5",65.1920240520265,145.716110699497,135.293032311168
"1744","T066","65,5","65","5",0,0,"T066_65,5",65.1920240520265,145.716110699497,135.293032311168
"1745","T067","65,5","65","5",0,0,"T067_65,5",65.1920240520265,145.716110699497,135.293032311168
"1746","T068","65,5","65","5",0,0,"T068_65,5",65.1920240520265,145.716110699497,135.293032311168
"1747","T069","65,5","65","5",0,0,"T069_65,5",65.1920240520265,145.716110699497,135.293032311168
"1748","T070","65,5","65","5",0,0,"T070_65,5",65.1920240520265,145.716110699497,135.293032311168
"1749","T071","65,5","65","5",0,0,"T071_65,5",65.1920240520265,145.716110699497,135.293032311168
"1750","T072","65,5","65","5",0,0,"T072_65,5",65.1920240520265,145.716110699497,135.293032311168
"1751","T073","65,5","65","5",0,0,"T073_65,5",65.1920240520265,145.716110699497,135.293032311168
"1752","T074","65,5","65","5",0,0,"T074_65,5",65.1920240520265,145.716110699497,135.293032311168
"1753","T075","65,5","65","5",0,0,"T075_65,5",65.1920240520265,145.716110699497,135.293032311168
"1754","T076","65,5","65","5",0,0,"T076_65,5",65.1920240520265,145.716110699497,135.293032311168
"1755","T078","65,5","65","5",0,0,"T078_65,5",65.1920240520265,145.716110699497,135.293032311168
"1756","T079","65,5","65","5",0,0,"T079_65,5",65.1920240520265,145.716110699497,135.293032311168
"1757","T080","65,5","65","5",0,0,"T080_65,5",65.1920240520265,145.716110699497,135.293032311168
"1758","T081","65,5","65","5",0,0,"T081_65,5",65.1920240520265,145.716110699497,135.293032311168
"1759","T082","65,5","65","5",0,0,"T082_65,5",65.1920240520265,145.716110699497,135.293032311168
"1760","T083","65,5","65","5",0,0,"T083_65,5",65.1920240520265,145.716110699497,135.293032311168
"1761","T084","65,5","65","5",0,0,"T084_65,5",65.1920240520265,145.716110699497,135.293032311168
"1762","T085","65,5","65","5",0,0,"T085_65,5",65.1920240520265,145.716110699497,135.293032311168
"1763","T086","65,5","65","5",0,0,"T086_65,5",65.1920240520265,145.716110699497,135.293032311168
"1764","T087","65,5","65","5",0,0,"T087_65,5",65.1920240520265,145.716110699497,135.293032311168
"1765","T088","65,5","65","5",0,0,"T088_65,5",65.1920240520265,145.716110699497,135.293032311168
"1766","T089","65,5","65","5",0,0,"T089_65,5",65.1920240520265,145.716110699497,135.293032311168
"1767","T090","65,5","65","5",0,0,"T090_65,5",65.1920240520265,145.716110699497,135.293032311168
"1768","C017","75,5","75","5",0,0,"C017_75,5",73.0168115333182,144.731542711133,134.079669422477
"1769","C018","75,5","75","5",0,0,"C018_75,5",73.0168115333182,144.731542711133,134.079669422477
"1770","C019","75,5","75","5",0,0,"C019_75,5",73.0168115333182,144.731542711133,134.079669422477
"1771","C020","75,5","75","5",0,0,"C020_75,5",73.0168115333182,144.731542711133,134.079669422477
"1772","C021","75,5","75","5",0,0,"C021_75,5",73.0168115333182,144.731542711133,134.079669422477
"1773","C022","75,5","75","5",0,0,"C022_75,5",73.0168115333182,144.731542711133,134.079669422477
"1774","C023","75,5","75","5",0,0,"C023_75,5",73.0168115333182,144.731542711133,134.079669422477
"1775","C024","75,5","75","5",0,0,"C024_75,5",73.0168115333182,144.731542711133,134.079669422477
"1776","C025","75,5","75","5",0,0,"C025_75,5",73.0168115333182,144.731542711133,134.079669422477
"1777","C026","75,5","75","5",0,0,"C026_75,5",73.0168115333182,144.731542711133,134.079669422477
"1778","C027","75,5","75","5",0,0,"C027_75,5",73.0168115333182,144.731542711133,134.079669422477
"1779","C028","75,5","75","5",0,0,"C028_75,5",73.0168115333182,144.731542711133,134.079669422477
"1780","C029","75,5","75","5",0,0,"C029_75,5",73.0168115333182,144.731542711133,134.079669422477
"1781","C030","75,5","75","5",0,0,"C030_75,5",73.0168115333182,144.731542711133,134.079669422477
"1782","C031","75,5","75","5",0,0,"C031_75,5",73.0168115333182,144.731542711133,134.079669422477
"1783","C032","75,5","75","5",0,0,"C032_75,5",73.0168115333182,144.731542711133,134.079669422477
"1784","T048","75,5","75","5",0,0,"T048_75,5",73.0168115333182,144.731542711133,134.079669422477
"1785","T049","75,5","75","5",0,0,"T049_75,5",73.0168115333182,144.731542711133,134.079669422477
"1786","T050","75,5","75","5",0,0,"T050_75,5",73.0168115333182,144.731542711133,134.079669422477
"1787","T051","75,5","75","5",0,0,"T051_75,5",73.0168115333182,144.731542711133,134.079669422477
"1788","T052","75,5","75","5",0,0,"T052_75,5",73.0168115333182,144.731542711133,134.079669422477
"1789","T053","75,5","75","5",0,0,"T053_75,5",73.0168115333182,144.731542711133,134.079669422477
"1790","T054","75,5","75","5",0,0,"T054_75,5",73.0168115333182,144.731542711133,134.079669422477
"1791","T055","75,5","75","5",0,0,"T055_75,5",73.0168115333182,144.731542711133,134.079669422477
"1792","T056","75,5","75","5",0,0,"T056_75,5",73.0168115333182,144.731542711133,134.079669422477
"1793","T057","75,5","75","5",0,0,"T057_75,5",73.0168115333182,144.731542711133,134.079669422477
"1794","T058","75,5","75","5",0,0,"T058_75,5",73.0168115333182,144.731542711133,134.079669422477
"1795","T059","75,5","75","5",0,0,"T059_75,5",73.0168115333182,144.731542711133,134.079669422477
"1796","T061","75,5","75","5",0,0,"T061_75,5",73.0168115333182,144.731542711133,134.079669422477
"1797","T062","75,5","75","5",0,0,"T062_75,5",73.0168115333182,144.731542711133,134.079669422477
"1798","T063","75,5","75","5",0,0,"T063_75,5",73.0168115333182,144.731542711133,134.079669422477
"1799","T064","75,5","75","5",0,0,"T064_75,5",73.0168115333182,144.731542711133,134.079669422477
"1800","T065","75,5","75","5",0,0,"T065_75,5",73.0168115333182,144.731542711133,134.079669422477
"1801","T066","75,5","75","5",0,0,"T066_75,5",73.0168115333182,144.731542711133,134.079669422477
"1802","T067","75,5","75","5",0,0,"T067_75,5",73.0168115333182,144.731542711133,134.079669422477
"1803","T068","75,5","75","5",0,0,"T068_75,5",73.0168115333182,144.731542711133,134.079669422477
"1804","T069","75,5","75","5",0,0,"T069_75,5",73.0168115333182,144.731542711133,134.079669422477
"1805","T070","75,5","75","5",0,0,"T070_75,5",73.0168115333182,144.731542711133,134.079669422477
"1806","T071","75,5","75","5",0,0,"T071_75,5",73.0168115333182,144.731542711133,134.079669422477
"1807","T072","75,5","75","5",0,0,"T072_75,5",73.0168115333182,144.731542711133,134.079669422477
"1808","T073","75,5","75","5",0,0,"T073_75,5",73.0168115333182,144.731542711133,134.079669422477
"1809","T074","75,5","75","5",0,0,"T074_75,5",73.0168115333182,144.731542711133,134.079669422477
"1810","T075","75,5","75","5",0,0,"T075_75,5",73.0168115333182,144.731542711133,134.079669422477
